metric,comparison,comparison_label,aggregation_level,target_id,target_label,workload_id,rss_work_model,eligible_for_suite_headline,diagnostic_only,ratio,observation_count,note
peak_rss,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,groupby_low_cardinality,fixed_work,True,False,0.9933333333333333,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,groupby_high_cardinality,fixed_work,True,False,1.0,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,groupby_multikey,fixed_work,True,False,0.9965040238000575,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,filter_retain,fixed_work,True,False,1.0,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,csv_scan,fixed_work,True,False,1.0034769463340891,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,within_target_geometric_mean,polars,Polars,,fixed_work,True,False,0.9986568680452999,5,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_parser,workload_native_adaptive_iterations,True,False,56.51775486827033,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_fixer,workload_native_adaptive_iterations,True,False,81.68883249881053,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_codegen_es2020,workload_native_adaptive_iterations,True,False,2.8908793930133307,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_all_es2020,workload_native_adaptive_iterations,True,False,27.244106018450726,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_all_es5,workload_native_adaptive_iterations,True,False,21.173602961090552,5,median of five paired-run ratios
performance,compiler_route,Compiler route,within_target_geometric_mean,swc,SWC,,workload_native_adaptive_iterations,True,False,23.839051845077122,5,geometric mean across workload paired-run medians within target
peak_rss,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_parser,workload_native_adaptive_iterations,False,True,0.967511655011655,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_fixer,workload_native_adaptive_iterations,False,True,1.0103824418451834,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_codegen_es2020,workload_native_adaptive_iterations,False,True,1.0773472645479611,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_all_es2020,workload_native_adaptive_iterations,False,True,1.0031737971308874,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,swc,SWC,large_all_es5,workload_native_adaptive_iterations,False,True,1.006077216396568,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,within_target_geometric_mean,swc,SWC,,workload_native_adaptive_iterations,False,True,1.0122808955898024,5,geometric mean across workload paired-run medians within target
performance,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_parser,workload_native_adaptive_iterations,True,False,57.0182555780933,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_fixer,workload_native_adaptive_iterations,True,False,82.71856070879667,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_codegen_es2020,workload_native_adaptive_iterations,True,False,2.8568870160653153,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_all_es2020,workload_native_adaptive_iterations,True,False,27.333565904994472,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_all_es5,workload_native_adaptive_iterations,True,False,21.298384749708966,5,median of five paired-run ratios
performance,end_to_end,End to end,within_target_geometric_mean,swc,SWC,,workload_native_adaptive_iterations,True,False,23.928230543359113,5,geometric mean across workload paired-run medians within target
peak_rss,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_parser,workload_native_adaptive_iterations,False,True,0.9887407407407407,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_fixer,workload_native_adaptive_iterations,False,True,1.0150914439186596,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_codegen_es2020,workload_native_adaptive_iterations,False,True,1.0938940092165899,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_all_es2020,workload_native_adaptive_iterations,False,True,1.0077258566978193,5,median of five paired-run ratios
