variant,allocator,feature,allocator_label,benchmark,robustness_selected,sample_index,measured_round,sample_ns_per_iter,cell_median_ns_per_iter,cell_mad_ns_per_iter,cell_min_ns_per_iter,cell_max_ns_per_iter,cell_median_ratio_vs_unialloc,aggregate_geomean_median_ratio_vs_unialloc,robust_geomean_median_ratio_vs_unialloc
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,vec::bench_from_elem_1000,true,2,2,149.65000000000001,149.37,0.15999999999999659,149.21000000000001,149.65000000000001,0.98646149782063142,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,vec::bench_from_elem_1000,true,3,3,149.21000000000001,149.37,0.15999999999999659,149.21000000000001,149.65000000000001,0.98646149782063142,0.81232787988481392,0.81232787988481392
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,vec::bench_from_elem_1000,true,1,1,136.08000000000001,137.58000000000001,0.10999999999998522,136.08000000000001,137.69,0.90859859992075043,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,vec::bench_from_elem_1000,true,2,2,137.69,137.58000000000001,0.10999999999998522,136.08000000000001,137.69,0.90859859992075043,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,vec::bench_from_elem_1000,true,3,3,137.58000000000001,137.58000000000001,0.10999999999998522,136.08000000000001,137.69,0.90859859992075043,0.81557727656763457,0.81557727656763457
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,vec::bench_from_elem_1000,true,1,1,133.84,133.84,0.18000000000000682,133.59,134.02000000000001,0.88389908862765831,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,vec::bench_from_elem_1000,true,2,2,134.02000000000001,133.84,0.18000000000000682,133.59,134.02000000000001,0.88389908862765831,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,vec::bench_from_elem_1000,true,3,3,133.59,133.84,0.18000000000000682,133.59,134.02000000000001,0.88389908862765831,0.77215917526012701,0.77215917526012701
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,vec::bench_from_elem_1000,true,1,1,132.63999999999999,132.84,0.039999999999992042,132.63999999999999,132.88,0.87729494122308815,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,vec::bench_from_elem_1000,true,2,2,132.84,132.84,0.039999999999992042,132.63999999999999,132.88,0.87729494122308815,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,vec::bench_from_elem_1000,true,3,3,132.88,132.84,0.039999999999992042,132.63999999999999,132.88,0.87729494122308815,0.76406462127847108,0.76406462127847108
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,vec::bench_from_elem_1000,true,1,1,134.87,134.87,0.0099999999999909051,134.86000000000001,134.88999999999999,0.89070136045436543,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,vec::bench_from_elem_1000,true,2,2,134.86000000000001,134.87,0.0099999999999909051,134.86000000000001,134.88999999999999,0.89070136045436543,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,vec::bench_from_elem_1000,true,3,3,134.88999999999999,134.87,0.0099999999999909051,134.86000000000001,134.88999999999999,0.89070136045436543,0.79324362672494542,0.79324362672494542
bench_scudo,scudo,bench_scudo,Scudo,vec::bench_from_elem_1000,true,1,1,153.30000000000001,153.31999999999999,0.01999999999998181,153.30000000000001,153.61000000000001,1.0125478800686831,0.89677931758908924,0.89677931758908924
